Attempt_Number,Phase,Trial,Val_Loss,Val_MAE_theta,Val_MAE_range,Params_JSON,Grad_Status,Comments
1,Phase1,1,0.211956,48.343,6.470,"{""lr"": 0.0001303330523507183, ""surrogate_slope"": 34.36266157117926, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 6.330451065490129, ""tau_ic_ms"": 20.823244245668075, ""thr_mso"": 0.8232110595394884, ""thr_ic"": 1.2402489777681698, ""noise_std"": 0.005}",ok,
1,Phase1,2,0.212697,48.283,6.098,"{""lr"": 0.00024828473458574367, ""surrogate_slope"": 42.08188474514666, ""hidden_mso"": 96, ""hidden_ic"": 48, ""tau_mso_ms"": 5.0249472402362985, ""tau_ic_ms"": 16.321929420364174, ""thr_mso"": 0.8613301599971579, ""thr_ic"": 1.3059348165378228, ""noise_std"": 0.005}",ok,
1,Phase1,3,0.213804,48.642,6.324,"{""lr"": 0.0007062185937494021, ""surrogate_slope"": 48.858603657415514, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 3.412500248485777, ""tau_ic_ms"": 27.941971599630687, ""thr_mso"": 1.0384028005510102, ""thr_ic"": 0.9573828935578289, ""noise_std"": 0.005}",ok,
1,Phase1,4,0.211721,47.906,6.506,"{""lr"": 0.00010118812511400455, ""surrogate_slope"": 31.728100611216238, ""hidden_mso"": 128, ""hidden_ic"": 48, ""tau_mso_ms"": 7.550765378900783, ""tau_ic_ms"": 20.50511342214291, ""thr_mso"": 0.8832151598838104, ""thr_ic"": 0.9085487571547406, ""noise_std"": 0.005}",ok,
1,Phase1,5,0.209838,48.250,6.328,"{""lr"": 0.0008975119112444377, ""surrogate_slope"": 26.478119335454345, ""hidden_mso"": 96, ""hidden_ic"": 48, ""tau_mso_ms"": 7.483736348704313, ""tau_ic_ms"": 14.137827426867304, ""thr_mso"": 1.1235241944603263, ""thr_ic"": 1.396143495436462, ""noise_std"": 0.005}",ok,
2,Phase1,1,0.238924,49.653,6.733,"{""lr"": 0.0006836631137316511, ""surrogate_slope"": 14.19184417479479, ""hidden_mso"": 96, ""hidden_ic"": 64, ""tau_mso_ms"": 4.968897755441256, ""tau_ic_ms"": 18.181452197217972, ""thr_mso"": 1.2079219276716853, ""thr_ic"": 1.226088795996244, ""noise_std"": 0.005}",ok,
2,Phase1,2,0.223493,48.866,6.333,"{""lr"": 0.0009131165728735859, ""surrogate_slope"": 28.26484435755749, ""hidden_mso"": 96, ""hidden_ic"": 64, ""tau_mso_ms"": 7.716753602021975, ""tau_ic_ms"": 27.636485623129953, ""thr_mso"": 1.317128449922715, ""thr_ic"": 0.9282948872783652, ""noise_std"": 0.005}",ok,
2,Phase1,3,0.208994,47.474,6.277,"{""lr"": 0.0004333432277201095, ""surrogate_slope"": 15.565850079396139, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 7.3133716801847966, ""tau_ic_ms"": 12.976961260884378, ""thr_mso"": 1.2503599665271787, ""thr_ic"": 0.8954931582878887, ""noise_std"": 0.005}",ok,
2,Phase1,4,0.214011,48.646,6.008,"{""lr"": 0.0001489000784555543, ""surrogate_slope"": 14.160918439609244, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 7.0250860029022615, ""tau_ic_ms"": 17.54830811432845, ""thr_mso"": 1.2125899404974716, ""thr_ic"": 0.8353393528232465, ""noise_std"": 0.005}",ok,
2,Phase1,5,0.229315,49.371,6.598,"{""lr"": 0.0005141569210487085, ""surrogate_slope"": 12.900312535905446, ""hidden_mso"": 96, ""hidden_ic"": 48, ""tau_mso_ms"": 6.487149591020959, ""tau_ic_ms"": 28.60205606816345, ""thr_mso"": 1.5053381990858266, ""thr_ic"": 0.8569831899778748, ""noise_std"": 0.005}",ok,
3,Phase1,1,0.210557,47.905,6.176,"{""lr"": 0.0009750154857736522, ""surrogate_slope"": 31.981789073789017, ""hidden_mso"": 96, ""hidden_ic"": 64, ""tau_mso_ms"": 3.2426100045322293, ""tau_ic_ms"": 13.266488964165335, ""thr_mso"": 0.8927605691983556, ""thr_ic"": 1.1764350096226557, ""hidden_hi"": 48, ""tau_hi_ms"": 29.407014968075707, ""thr_hi"": 1.1709766901404148, ""noise_std"": 0.005}",ok,
3,Phase1,2,0.212121,48.100,6.402,"{""lr"": 0.0001917199056227084, ""surrogate_slope"": 49.04013263270166, ""hidden_mso"": 96, ""hidden_ic"": 64, ""tau_mso_ms"": 3.562304478979973, ""tau_ic_ms"": 14.539095786845717, ""thr_mso"": 1.1828418437293557, ""thr_ic"": 0.9456548940680678, ""hidden_hi"": 32, ""tau_hi_ms"": 38.46299078055338, ""thr_hi"": 0.9349376492056747, ""noise_std"": 0.005}",ok,
3,Phase1,3,0.209302,48.083,6.218,"{""lr"": 0.0005085942953579924, ""surrogate_slope"": 14.42261827090045, ""hidden_mso"": 96, ""hidden_ic"": 48, ""tau_mso_ms"": 5.288689957303233, ""tau_ic_ms"": 21.148654053641515, ""thr_mso"": 1.0015601598332442, ""thr_ic"": 0.8661447933594395, ""hidden_hi"": 48, ""tau_hi_ms"": 29.03333053293107, ""thr_hi"": 0.8564833574602955, ""noise_std"": 0.005}",ok,
3,Phase1,4,0.210918,48.193,6.371,"{""lr"": 0.0007712643146446842, ""surrogate_slope"": 39.67016511842438, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 3.860834086532157, ""tau_ic_ms"": 28.445559549155313, ""thr_mso"": 1.333065976978774, ""thr_ic"": 0.953034053202082, ""hidden_hi"": 32, ""tau_hi_ms"": 28.047425679113694, ""thr_hi"": 0.8385033775796555, ""noise_std"": 0.005}",ok,
3,Phase1,5,0.208216,47.868,6.299,"{""lr"": 0.0002778907725184625, ""surrogate_slope"": 18.28366513098406, ""hidden_mso"": 128, ""hidden_ic"": 48, ""tau_mso_ms"": 3.9387286407546473, ""tau_ic_ms"": 15.92774881363084, ""thr_mso"": 0.9121534523421821, ""thr_ic"": 0.8568617948927677, ""hidden_hi"": 32, ""tau_hi_ms"": 23.225576414428613, ""thr_hi"": 0.9829479774346181, ""noise_std"": 0.005}",ok,
4,Phase1,1,0.212904,48.269,6.239,"{""lr"": 0.0006079002903362803, ""surrogate_slope"": 35.393348242109205, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 3.2143272417613193, ""tau_ic_ms"": 18.81734406859609, ""thr_mso"": 1.5301778319481583, ""thr_ic"": 1.0730023513560674, ""noise_std"": 0.005}",ok,
4,Phase1,2,0.220117,48.688,6.271,"{""lr"": 0.00032205818472118855, ""surrogate_slope"": 13.396318191788005, ""hidden_mso"": 128, ""hidden_ic"": 48, ""tau_mso_ms"": 3.5203719865664413, ""tau_ic_ms"": 26.042160937068942, ""thr_mso"": 1.1158655593440943, ""thr_ic"": 1.1766608529405138, ""noise_std"": 0.005}",ok,
4,Phase1,3,0.213087,48.083,6.606,"{""lr"": 0.00010863969648079089, ""surrogate_slope"": 21.996314000861418, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 4.975726740515302, ""tau_ic_ms"": 16.150785251981326, ""thr_mso"": 0.9768809090781636, ""thr_ic"": 1.0964150149918324, ""noise_std"": 0.005}",ok,
4,Phase1,4,0.213420,48.401,6.317,"{""lr"": 0.00011425499341608094, ""surrogate_slope"": 21.588001629114203, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 3.4504262810002153, ""tau_ic_ms"": 12.979778031598102, ""thr_mso"": 1.3380599709482264, ""thr_ic"": 1.3873951548874603, ""noise_std"": 0.005}",ok,
4,Phase1,5,0.213897,48.558,6.339,"{""lr"": 0.00010549296652461143, ""surrogate_slope"": 46.30862764703075, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 3.8480388223320046, ""tau_ic_ms"": 13.902545934897422, ""thr_mso"": 0.8852454808722438, ""thr_ic"": 1.1124737602333163, ""noise_std"": 0.005}",ok,
5,Phase1,1,0.207838,47.992,6.227,"{""lr"": 0.0001298639091716619, ""surrogate_slope"": 48.97932377745826, ""hidden_mso"": 96, ""hidden_ic"": 64, ""tau_mso_ms"": 6.227809272541462, ""tau_ic_ms"": 18.291992143763327, ""thr_mso"": 1.3648248090184074, ""thr_ic"": 0.9479896290647851, ""tau_mso_fast_ms"": 3.5119848625959245, ""tau_mso_slow_ms"": 6.0720340624360825, ""noise_std"": 0.005}",ok,
5,Phase1,2,0.209976,48.030,6.114,"{""lr"": 0.00012552376433720347, ""surrogate_slope"": 22.017457414451535, ""hidden_mso"": 96, ""hidden_ic"": 64, ""tau_mso_ms"": 4.35460401687385, ""tau_ic_ms"": 15.470957831949374, ""thr_mso"": 1.5635301459188342, ""thr_ic"": 0.8762687426354382, ""tau_mso_fast_ms"": 4.4945296997587425, ""tau_mso_slow_ms"": 6.015713867096708, ""noise_std"": 0.005}",ok,
5,Phase1,3,0.213563,48.678,6.325,"{""lr"": 0.0007191021841728036, ""surrogate_slope"": 37.83824805286791, ""hidden_mso"": 128, ""hidden_ic"": 48, ""tau_mso_ms"": 5.684328962322262, ""tau_ic_ms"": 15.869196359597934, ""thr_mso"": 0.8084816423205279, ""thr_ic"": 1.3302804306753475, ""tau_mso_fast_ms"": 4.312821296246892, ""tau_mso_slow_ms"": 8.826767917941886, ""noise_std"": 0.005}",ok,
5,Phase1,4,0.221105,48.820,6.523,"{""lr"": 0.0005558342419034359, ""surrogate_slope"": 20.68841783041968, ""hidden_mso"": 128, ""hidden_ic"": 48, ""tau_mso_ms"": 3.873181736265712, ""tau_ic_ms"": 17.214205150027905, ""thr_mso"": 0.9121458122246547, ""thr_ic"": 1.033447193090998, ""tau_mso_fast_ms"": 3.94377666829159, ""tau_mso_slow_ms"": 8.906480769074342, ""noise_std"": 0.005}",ok,
5,Phase1,5,0.210325,47.898,6.425,"{""lr"": 0.0001398194049588214, ""surrogate_slope"": 30.5701888706204, ""hidden_mso"": 96, ""hidden_ic"": 64, ""tau_mso_ms"": 3.5186440535947012, ""tau_ic_ms"": 21.359321770377974, ""thr_mso"": 1.1090451046295007, ""thr_ic"": 0.8508332286001976, ""tau_mso_fast_ms"": 4.123998354219631, ""tau_mso_slow_ms"": 7.944215035657456, ""noise_std"": 0.005}",ok,
6,Phase1,1,0.212156,47.833,6.141,"{""lr"": 0.00010410947847474713, ""surrogate_slope"": 45.662930687210334, ""hidden_mso"": 128, ""hidden_ic"": 48, ""tau_mso_ms"": 7.3235519334512915, ""tau_ic_ms"": 18.950252644277484, ""thr_mso"": 1.2385839250800754, ""thr_ic"": 1.0143031968979936, ""noise_std"": 0.005}",ok,
6,Phase1,2,0.209295,48.082,6.171,"{""lr"": 0.0001295126009995134, ""surrogate_slope"": 15.675886193931884, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 4.683569287145406, ""tau_ic_ms"": 19.088556416565794, ""thr_mso"": 0.9497022182644198, ""thr_ic"": 1.0453011279660263, ""noise_std"": 0.005}",ok,
6,Phase1,3,0.217542,48.386,6.242,"{""lr"": 0.0001355507859180592, ""surrogate_slope"": 11.484412599393545, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 5.943939579060655, ""tau_ic_ms"": 21.499671743020183, ""thr_mso"": 1.0677482541485555, ""thr_ic"": 1.0283434632181647, ""noise_std"": 0.005}",ok,
6,Phase1,4,0.210972,48.196,6.214,"{""lr"": 0.0002521393865835982, ""surrogate_slope"": 37.17299328555367, ""hidden_mso"": 128, ""hidden_ic"": 64, ""tau_mso_ms"": 3.760339127201184, ""tau_ic_ms"": 25.43754100297219, ""thr_mso"": 1.0104952319385954, ""thr_ic"": 1.2631815378788893, ""noise_std"": 0.005}",ok,
6,Phase1,5,0.210372,47.956,6.517,"{""lr"": 0.00019384399351932252, ""surrogate_slope"": 36.067174960100026, ""hidden_mso"": 96, ""hidden_ic"": 64, ""tau_mso_ms"": 3.450334829381933, ""tau_ic_ms"": 23.856766642497895, ""thr_mso"": 1.3439317535503457, ""thr_ic"": 1.3454994018531918, ""noise_std"": 0.005}",ok,
